InvoiceDate,WHITE HANGING HEART T-LIGHT HOLDER,JUMBO BAG RED RETROSPOT,REGENCY CAKESTAND 3 TIER,ASSORTED COLOUR BIRD ORNAMENT,LUNCH BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,NATURAL SLATE HEART CHALKBOARD ,JAM MAKING SET WITH JARS,SMALL POPCORN HOLDER,RECIPE BOX PANTRY YELLOW DESIGN,LUNCH BAG CARS BLUE,WOODEN PICTURE FRAME WHITE FINISH,LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,ALARM CLOCK BAKELIKE RED ,VICTORIAN GLASS HANGING T-LIGHT,JUMBO STORAGE BAG SUKI,GREEN REGENCY TEACUP AND SAUCER,JUMBO BAG PINK POLKADOT,6 RIBBONS RUSTIC CHARM
2011-09-07,16,265,12,72,160,50,22,11,79,16,31,11,76,80,21,85,173,36,185,14
2011-09-08,27,47,24,136,10,122,68,24,67,11,13,6,10,39,53,6,26,4,74,27
2011-09-09,29,53,8,40,57,179,3,7,136,32,37,36,21,34,38,6,15,11,27,12
2011-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-11,89,53,64,104,22,168,32,17,102,26,112,36,24,7,10,14,36,54,117,69
2011-09-12,117,83,56,48,42,0,6,12,209,15,50,18,14,20,9,99,53,49,2,36
2011-09-13,131,144,58,296,51,810,38,56,50,8,77,53,47,88,30,54,65,45,337,28
2011-09-14,85,3,21,48,122,36,12,44,102,1,30,14,41,40,2,18,3,17,30,27
2011-09-15,144,167,65,400,87,65,8,51,35,21,55,12,43,64,0,41,38,54,50,39
2011-09-16,100,119,13,68,25,41,25,25,134,7,34,37,3,78,23,24,67,46,50,54
2011-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-18,81,227,6,48,2,3,5,28,40,19,2,54,2,12,53,12,105,3,9,7
2011-09-19,42,493,23,104,301,362,6,18,222,7,111,20,50,142,24,98,12,72,136,36
2011-09-20,398,150,19,64,37,94,92,90,181,644,41,24,64,19,25,46,152,28,235,13
2011-09-21,11,419,19,56,15,230,17,9,143,17,17,0,33,140,91,88,5,25,29,117
2011-09-22,58,268,48,348,53,248,19,127,25,97,67,29,34,33,12,66,63,12,157,129
2011-09-23,127,276,16,32,46,83,7,28,99,24,17,103,21,37,6,13,26,12,222,31
2011-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-25,69,61,22,97,40,11,25,3,12,21,10,32,50,51,39,114,30,3,30,24
2011-09-26,48,220,15,245,3,28,23,53,27,211,2,12,2,10,22,5,10,19,40,202
2011-09-27,17,174,47,74,57,89,21,73,85,19,43,18,21,50,34,6,45,12,109,0
2011-09-28,125,91,14,224,89,34,46,17,143,15,66,56,20,21,51,30,34,36,233,27
2011-09-29,80,372,60,184,105,148,39,13,296,50,71,21,52,55,3,24,148,84,252,42
2011-09-30,111,66,8,48,64,49,4,30,1085,7,41,11,16,77,22,25,22,7,28,21
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-02,21,6,5,24,0,11,2,1,39,1,12,25,10,22,5,0,1,6,3,3
2011-10-03,23,43,26,72,41,26,19,9,76,21,12,5,25,46,103,986,71,6,2,4
2011-10-04,20,77,47,84,79,83,68,23,147,13,37,54,10,36,21,30,24,22,64,52
2011-10-05,49,361,228,91,90,24,38,15,50,3,31,12,20,180,82,222,131,204,212,86
2011-10-06,13,1583,75,285,60,146,52,81,389,25,64,72,73,47,26,132,14,72,942,20
2011-10-07,34,623,13,48,50,186,44,16,47,7,19,11,0,15,21,97,209,12,409,120
2011-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-09,26,22,20,9,2,12,0,5,126,14,4,0,2,8,0,16,5,42,20,24
2011-10-10,123,62,22,40,36,105,18,21,159,39,15,25,21,34,13,38,43,34,123,57
2011-10-11,46,368,26,76,114,83,14,86,124,13,69,13,12,51,19,72,107,13,232,54
2011-10-12,25,78,38,56,52,73,58,32,210,23,4,7,11,42,20,1,22,38,21,6
2011-10-13,243,274,57,116,75,169,47,27,133,29,0,4,11,91,26,6,61,19,36,39
2011-10-14,187,147,49,72,160,45,17,18,252,14,42,79,20,119,18,186,28,6,25,24
2011-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-16,55,18,22,60,6,24,36,78,6,6,13,2,2,10,4,0,2,6,0,40
2011-10-17,69,409,50,392,22,278,41,10,534,11,11,38,2,25,14,29,15,5,263,32
2011-10-18,21,112,28,48,65,80,26,25,294,17,74,0,44,42,15,20,66,3,47,25
2011-10-19,39,54,46,158,26,0,79,10,247,30,10,50,12,30,20,102,30,22,20,64
2011-10-20,26,341,109,156,110,72,18,12,15,6,124,27,16,9,14,42,20,14,4,183
2011-10-21,13,122,29,16,39,49,20,0,62,11,19,162,7,31,7,18,8,11,0,12
2011-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-23,63,7,6,59,14,28,8,9,12,11,0,15,13,13,1,0,1,0,0,7
2011-10-24,76,287,5,128,8,14,16,4,232,12,3,3,2,5,13,28,249,7,239,29
2011-10-25,16,161,13,80,37,61,0,36,251,29,75,15,39,31,424,42,21,18,41,14
2011-10-26,17,48,18,217,52,60,18,11,43,4,25,16,24,24,27,966,16,12,49,54
2011-10-27,117,41,28,40,45,61,22,25,47,25,124,43,12,24,38,18,20,14,0,72
2011-10-28,90,12,52,49,94,244,66,18,2065,7,30,19,22,26,103,78,32,0,411,92
2011-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-30,128,51,19,264,78,81,11,30,137,26,18,33,28,24,73,114,34,34,3,43
2011-10-31,149,105,52,120,10,64,29,73,210,22,16,64,10,38,46,77,48,22,40,56
2011-11-01,39,84,21,294,6,28,12,2,286,41,0,15,0,7,32,27,112,36,43,88
2011-11-02,80,244,5,128,117,219,8,7,172,56,6,70,111,16,10,118,13,1,111,37
2011-11-03,1265,452,65,210,30,529,29,161,20,355,10,92,1,5,64,12,16,2,20,314
2011-11-04,85,58,111,80,38,56,22,57,174,7,52,233,36,34,51,102,13,7,17,21
2011-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-06,86,120,25,136,122,146,39,0,294,26,17,38,121,8,30,23,43,14,82,10
2011-11-07,95,146,35,24,130,77,20,28,2012,9,20,8,30,40,71,8,53,6,35,51
2011-11-08,97,159,11,56,61,66,49,10,172,23,50,28,41,52,73,50,156,5,71,27
2011-11-09,113,725,16,1312,161,4,30,8,1079,7,10,12,21,52,36,4,226,45,254,34
2011-11-10,71,1074,46,200,93,78,81,64,339,215,31,54,17,36,49,186,27,37,18,52
2011-11-11,134,48,32,100,88,50,44,5,184,13,17,36,11,46,33,34,19,18,114,9
2011-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-13,65,48,29,56,23,87,27,33,114,28,34,52,16,40,12,6,26,58,24,43
2011-11-14,380,660,8,303,155,164,25,27,1767,5,23,118,32,41,84,49,20,17,321,121
2011-11-15,457,380,45,107,232,62,39,5,224,10,27,2,110,151,20,39,41,5,22,42
2011-11-16,157,316,15,297,66,89,31,82,352,43,14,8,12,35,25,97,35,20,76,33
2011-11-17,102,97,49,94,71,84,22,20,135,2,11,18,19,47,30,214,36,35,32,16
2011-11-18,125,62,110,368,77,109,39,25,449,36,66,14,40,75,29,2,41,15,31,4
2011-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-20,101,87,8,157,49,82,5,4,218,23,54,21,46,40,22,48,16,9,40,27
2011-11-21,36,147,50,190,37,100,6,57,349,32,62,21,39,38,15,210,10,6,25,41
2011-11-22,253,132,29,132,47,99,15,38,1162,37,17,16,7,41,30,32,14,16,2,6
2011-11-23,248,146,47,80,37,82,23,60,497,75,242,40,25,135,23,11,17,29,29,65
2011-11-24,131,245,82,355,44,1,54,15,558,11,35,35,24,72,47,78,125,21,33,64
2011-11-25,222,55,23,272,93,45,83,13,342,25,33,13,33,44,22,12,35,16,142,11
2011-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-27,8,28,30,8,18,15,14,3,47,23,7,17,12,21,10,30,11,13,22,6
2011-11-28,133,42,34,56,58,60,19,45,248,22,51,73,30,43,32,247,46,17,11,22
2011-11-29,116,165,93,127,49,52,39,223,796,37,22,23,22,30,29,86,19,52,33,4
2011-11-30,311,189,35,112,91,241,30,44,470,60,39,50,60,66,82,88,7,23,35,30
2011-12-01,41,149,34,88,51,29,96,8,279,20,15,49,14,81,63,158,153,49,11,113
2011-12-02,117,493,20,504,72,116,14,27,1369,19,12,6,22,41,37,26,31,8,341,1
2011-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-04,8,12,20,66,10,48,36,3,113,8,7,15,1,24,23,150,2,6,5,12
2011-12-05,298,66,36,133,50,42,59,30,410,61,11,15,30,24,127,377,44,159,28,97
2011-12-06,39,175,160,240,85,90,13,80,337,257,25,8,15,63,37,74,47,7,23,24
2011-12-07,200,89,130,256,35,74,660,60,368,21,28,42,40,40,673,78,46,40,33,6
2011-12-08,108,106,32,11,52,51,41,44,3111,57,17,10,8,34,62,109,23,29,7,20
2011-12-09,4,15,18,32,42,9,9,7,230,40,5,4,1,11,38,18,17,19,11,14
